code,ticker,company_name,sector,best_variant,theme_text_regenerated,theme_text_regenerated_compact
1380,1380.T,秋川牧園,水産・農林業,theme_bodyleft,35 【 株 式 】 & .5 カ 1 1 ー 7 5 お & 3 県 【 株 主 1 物 い 口 名 く 幻 コ 〉 庸 ] 秋 川 正 110 5 42 .11 2 料 Ⅱ 己 資 本 栁 Ⅱ 喜 代 子 (GO(MD 13 よ ー 0 山 只 哭 名 川 農 業 協 同 合 加 物 3 当 飼 料 Ⅱ 3 10 【 指 標 等 】 く 4 ・ 3 〉 . 月 長 に 2 1100 1 2 ROA 1 議 ー 予 1 ・ 脇 1 108 1 調 ー 株 益 1025 韻 益 ( .3 ) ー 戸 年 、 ( 0 年 満 、 ) ス 0 チ ・ ・ 【 役 員 幇 な 川 眄 日 村 次,35【株式】&.5カ11ー75お&3県【株主1物い口名く幻コ〉庸]秋川正110542.112料Ⅱ己資本栁Ⅱ喜代子(GO(MD13よー0山只哭名川農業協同合加物3当飼料Ⅱ310【指標等】く4・3〉.月長に2110012ROA1議ー予1・脇11081調ー株益1025韻益(.3)ー戸年、(0年満、)ス0チ・・【役員幇な川眄日村次
1381,1381.T,アクシーズ,水産・農林業,theme_bodyleft,"ー 7 に 5 招 . 劭 【 株 式 】 & 5 , 例 7 【 株 ) ! : 7 名 く な 肥 〉 庸 .1 O(LI 2 料 → ー ( 4 D ー 昭 正 624 興 47 1 【 指 標 等 】 く 6 〉 伊 地 知 剛 正 4 4 18 よ 2 18 よ 2 ( 2 ) 高 師 安 呂 ・ 2 31 ー 4 å)G() 31N ・ 、 年 1 5 年 満 0 ROE 7 ・ 脇 く 円 > ー 5 ー : 勳 橆 一 、 調 株 益 韻 益 ( 幻 .6 ) 肥 柵 い , 、 山 悪 舞","ー7に5招.劭【株式】&5,例7【株)!:7名くな肥〉庸.1O(LI2料→ー(4Dー昭正624興471【指標等】く6〉伊地知剛正4418よ218よ2(2)高師安呂・231ー4å)G()31N・、年15年満0ROE7・脇く円>ー5ー:勳橆一、調株益韻益(幻.6)肥柵い,、山悪舞"
1382,1382.T,ホーブ,水産・農林業,theme_bodyleft,△ 11B 此 1 ー 5 25 第 → ー 7 f.6 5.0 冊 7 【 株 式 】 & 0 1 7 【 株 主 ル 一 名 く な 肥 〉 高 橋 和 14 ・ 1 → ー 2 記 資 本 評 品 16 20 16 ム 0 ~ 7 8 G 証 券 8 ( い ) 2 1 01 4 【 指 標 等 】 く 6 〉 み す ほ 証 券 8 ( い ) 高 安 日 ・ ROE 14 ー を & BNY ・ GCM ク ラ イ ア ン ト 」 2 ROA - PRD ・ AC•ISG 7 ( ー ) 調 株 益 例 21 戸 年 、 ( 0 年 満 、 ) 0 チ .. 1 高 橋 巖,△11B此1ー525第→ー7f.65.0冊7【株式】&017【株主ル一名くな肥〉高橋和14・1→ー2記資本評品162016ム0~78G証券8(い)21014【指標等】く6〉みすほ証券8(い)高安日・ROE14ーを&BNY・GCMクライアント」2ROA-PRD・AC•ISG7(ー)調株益例21戸年、(0年満、)0チ..1高橋巖
1383,1383.T,ベルグアース,水産・農林業,theme_bodyleft,"ー 2 Ⅱ .1 21.11 28 ー 諸 よ 9 (OA ー 諸 カ ー 7 .0 【 株 式 】 & 1 1 1 , 例 0 飛 【 株 阪 山 く な 10 〉 庸 圏 ) 靄 ー ア / リ ビ ジ ネ ス 投 資 ・ 成 制 8 4.9 Ⅱ 己 資 本 1 : ー 予 i 4 ( 1 響 「 買 自 社 従 業 員 持 株 会 2 1 【 指 標 等 】 く 10 〉 知 満 川 種 2 一 81 1 最 純 益 ( ー の 2 2 ー 5 高 安 呂 ・ ・ ROE 43 脇 山 口 眞 山 「","ー2Ⅱ.121.1128ー諸よ9(OAー諸カー7.0【株式】&111,例0飛【株阪山くな10〉庸圏)靄ーア/リビジネス投資・成制84.9Ⅱ己資本1:ー予i4(1響「買自社従業員持株会21【指標等】く10〉知満川種2一811最純益(ーの22ー5高安呂・・ROE43脇山口眞山「"
1384,1384.T,ホクリヨウ,水産・農林業,theme_bodyleft,.4 15. ー 7 6 4.9 く 肥 生 3 〉 5 ( 4 ) 7 皿 禝 キ ン カ ン パ = 【 株 式 】 & 【 株 主 98 名 く 幻 コ 〉 庸 25 ー 47 引 本 比 6 BNY メ ロ ン GCM ク ラ イ ア ン 4 【 指 標 等 】 く 肥 h.3 〉 北 高 安 日 ・ ROE 1 予 7 ー Ⅱ よ 箋 嗄 ; し 仁 12 凵 2 Ⅱ 1 7 4 調 ー 株 益 的 1,.415.ー764.9く肥生3〉5(4)7皿禝キンカンパ=【株式】&【株主98名く幻コ〉庸25ー47引本比6BNYメロンGCMクライアン4【指標等】く肥h.3〉北高安日・ROE1予7ーⅡよ箋嗄;し仁12凵2Ⅱ174調ー株益的1
138A,138A.T,光フードサービス,小売業,theme_bodyleft,ー 5 1 & 11 一 三 和 . カ ( 5 ) ー 7 0 ・ 1 1 【 株 式 】 & 的 2 【 株 1 名 く な 〉 勢 エ ム ・ カ ン パ ニ ー 6 ム 5 1 東 誕 c 2 料 高 安 3 高 師 安 呂 ・ 2 6700 ー 国 人 4 1 く 肥 生 ゎ 而 中 島 翔 太 47 ・ 備 ー 大 谷 光 18 6 & 9 1 イ - ・ 田 央 Ⅱ 己 資 本 い 76 国 > 仙 第 く 浮 動 株 〉 0 本 比 4 富 ー く 投 信 〉 凹 、 く ネ ド 定 株 〉 1 4 【 指 標 等 】 4 彑 Ⅱ > ROE 7 予 17. ROA 11 議 ー 予 & 脇 調 株 益 最 益 ( な Ⅱ ) 1,ー51&11一三和.カ(5)ー70・11【株式】&的2【株1名くな〉勢エム・カンパニー6ム51東誕c2料高安3高師安呂・26700ー国人41く肥生ゎ而中島翔太47・備ー大谷光186&91イ-・田央Ⅱ己資本い76国>仙第く浮動株〉0本比4富ーく投信〉凹、くネド定株〉14【指標等】4彑Ⅱ>ROE7予17.ROA11議ー予&脇調株益最益(なⅡ)1
1401,1401.T,エムビーエス,建設業,theme_wide,"設 4 【 株 式 】 7 , 7 俐 【 株 ド ー 名 く な ⅱ → ー 本 貴 に ・ ホ ー ル デ ィ ン グ ス → ー . 4 7 皀 本 3 5 呂 社 鬟 会 安 き 比 事 本 マ タ ー 信 託 東 ⑥ 島 第 2,7 山 本 剏 0 鳳 真 24 ー ー 【 指 標 等 】 く > 非 野 日 房 雄 ROE ー 一 く 外 〉 2 脇 24 3 7 ー ROA 7 ー く 投 信 〉 凹","設4【株式】7,7俐【株ドー名くなⅱ→ー本貴に・ホールディングス→ー.47皀本35呂社鬟会安き比事本マター信託東⑥島第2,7山本剏0鳳真24ーー【指標等】く>非野日房雄ROEー一く外〉2脇2437ーROA7ーく投信〉凹"
1407,1407.T,ウエストホールディングス,建設業,theme_bodyleft,"6 な 東 S ー 5 7 → 1 → 1 1 → 1 仭 4 ー 7 仕 0 幻 .7 【 株 式 】 & 0 【 株 主 7()' 名 閉 2 〉 庸 讐 , 新 社 ( 自 4 00 ) 0 00 臨 7 訂 . 2 生 2 〉 日 太 カ ス ト プ イ 日 3 7 」 1 幻 , 82 マ ス タ ヨ 日 6 Ⅱ 己 資 本 , JERA 本 比 バ ン ク ・ オ プ ・ ニ ュ ー ヨ ー ク ・ ム 0 メ ロ ン 14 1 四 幻 ( 8 ー 「 '1 CEPLUX 工 ル ス テ グ ル ー 4 【 指 標 等 】 く 8 〉 バ ン ク UC s 51( い ) 韻 益 ( 2 ) 6 , 4 プ ル グ ・ 4523 ( 0. の 3010 一 円 JP モ ル ガ ン ・ SE ・ ル ク セ ン 調 株 益 2 4 4 ROA 4 ・ 予 プ ル グ ・ 4 4 盟 ( の 高 安 呂 ・ ROE ・ 予 JP モ ル ガ ン ・ SE ・ ル ク セ ン","6な東Sー57→1→11→1仭4ー7仕0幻.7【株式】&0【株主7()'名閉2〉庸讐,新社(自400)000臨7訂.2生2〉日太カストプイ日37」1幻,82マスタヨ日6Ⅱ己資本,JERA本比バンク・オプ・ニューヨーク・ム0メロン141四幻(8ー「'1CEPLUX工ルステグルー4【指標等】く8〉バンクUCs51(い)韻益(2)6,4プルグ・4523(0.の3010一円JPモルガン・SE・ルクセン調株益244ROA4・予プルグ・44盟(の高安呂・ROE・予JPモルガン・SE・ルクセン"
1414,1414.T,ショーボンドホールディングス,建設業,theme_bodyleft,"0 17. 8 ー 5 舸 → 恠 5 冊 2 ー 7 6 【 株 式 】 & 745 【 株 制 7 名 く な 肥 〉 庸 ー 1 匯 日 本 マ ス タ ヨ 日 砌 ( Ⅱ .7 ) 47 砌 ー C ・ ク ラ イ ア ン ト ・ オ ム = バ 567 1 生 3 〉 ス ・ ア カ ウ ン ト ( 10 1 幻 7 ・ 般 財 団 法 人 上 田 記 そ 財 団 Ⅱ 己 資 本 1 例 , 島 安 ま 比 、 自 社 ( 自 4 0 調 整 ー 株 益 円 日 未 カ ス ト ア イ 信 託 冂 4 2 61 1 ROA 予 11. 脇 引 安 田 イ る 1 ム 3 高 安 呂 ・ ROE ー ハ フ ィ デ ー ー イ F. 1 よ 3 1 1 -4 【 指 標 等 】 く 〉 ノ ー ザ ン ・ ト ラ ス ト (AVFC) リ 6 引 2 響 「 70 , 二 菱 U 暑 嶐 9 4 6 よ 5 8 最 ( な 6 ) 以 7 設 備 資 い 予 側 く 国 〉 ー 4 を く 0 ・ 2 第 Ⅱ 7 ( )","017.8ー5舸→恠5冊2ー76【株式】&745【株制7名くな肥〉庸ー1匯日本マスタヨ日砌(Ⅱ.7)47砌ーC・クライアント・オム=バ5671生3〉ス・アカウント(101幻7・般財団法人上田記そ財団Ⅱ己資本1例,島安ま比、自社(自40調整ー株益円日未カストアイ信託冂42611ROA予11.脇引安田イる1ム3高安呂・ROEーハフィデーーイF.1よ311-4【指標等】く〉ノーザン・トラスト(AVFC)リ6引2響「70,二菱U暑嶐946よ58最(な6)以7設備資い予側く国〉ー4をく0・2第Ⅱ7()"
1417,1417.T,ミライト・ワン,建設業,theme_bodyleft,閉 諸 21 り 111 一 1 1 動 定 樹 ス ス 市 集 電 ト ト 「 ま オ ヤ 以 イ 〉 〉 【 ー り 丨 ト イ ・ ー イ 5 5 東 ー,閉諸21り111一11動定樹スス市集電トト「まオヤ以イ〉〉【ーり丨トイ・ーイ55東ー
1418,1418.T,インターライフホールディングス,建設業,theme_bodyleft,"14. 14. 東 S 0 り 3 4 24 4 ー 7 △ f.9 28 【 株 式 】 & 川 0 【 株 主 1 郵 , 978 名 閉 2 〉 庸 Ⅱ 己 資 本 3 , 乃 村 一 从 ' 1 3 響 「 1 社 員 株 会 い 3 【 指 標 等 】 く 4 ・ 2 〉 及 川 民 司 加 ( の 5.0 2 21 2 幻 3 加 7 1 調 ー 株 益 210 韻 益 ) 476 【 役 員 1 知 i : 司 正 英 餬 貴 田 ・ 、 年 s(5 年 満 (s) 価 確 チ 肥 い 0 チ 0 司 翕 ー 「 司 ム 胆 正 明","14.14.東S0り34244ー7△f.928【株式】&川0【株主1郵,978名閉2〉庸Ⅱ己資本3,乃村一从'13響「1社員株会い3【指標等】く4・2〉及川民司加(の5.02212幻3加71調ー株益210韻益)476【役員1知i:司正英餬貴田・、年s(5年満(s)価確チ肥い0チ0司翕ー「司ム胆正明"
1419,1419.T,タマホーム,建設業,theme_bodyleft,"ー 5 .4 ( 9 り (OA) ー 7 Ⅱ 己 資 本 , 1 , 玉 ・ 一 【 株 式 】 & 四 4 【 株 1 名 く な Ⅱ 〉 庸 1 11 2 料 第 5 幻 ー 響 「 : 自 社 ( 自 己 株 「 1 ) ー 」 恥 4 4 4 1 【 指 標 等 】 く 5 〉 日 本 カ ス ト デ ィ 第 龜 」 21 ( の 高 安 呂 ・ ROE 予 ハ BNY ・ GCM ノ ラ イ ア ン ト 2 4 4010 ROA 7 ー 予 7. PRDISGFEAC 17 ( 4 材 5 調 株 益 恥 1 4 よ 戸 年 、 ( 0 年 満 、 ) 、 チ . : ぞ 1 0 、 仲 弥 ・ 木","ー5.4(9り(OA)ー7Ⅱ己資本,1,玉・一【株式】&四4【株1名くなⅡ〉庸1112料第5幻ー響「:自社(自己株「1)ー」恥4441【指標等】く5〉日本カストディ第龜」21(の高安呂・ROE予ハBNY・GCMノライアント244010ROA7ー予7.PRDISGFEAC17(4材5調株益恥14よ戸年、(0年満、)、チ.:ぞ10、仲弥・木"
141A,141A.T,トライアルホールディングス,小売業,theme_bodyleft,"ー 5 2 料 東 誕 c 幻 ・ 4 な 1 第 → ー 7 テ ィ ー ・ エ イ チ ・ シ ー 9 , 7 1 【 株 式 】 & 1 3 【 株 ド 1 27 な 幻 」 幻 生 3 〉 ヒ ロ イ ッ ク イ ン ベ ス ト メ 図 】 12 1 阜 (OA) Ⅱ 己 資 本 1 , 側 1 永 田 久 男 1 高 安 ま 比 事 00 、 0 、 、 0 1 加 2 18 ー 物 「 17 川 ャ マ エ 野 70 , 側 7 三 井 品 18 0 18 0 4 幻 3 【 指 標 等 】 = 6 〉 加 藤 側 0 和 4 ROA 4. 予 4. V よ 困 T を 和 0 幻 91 調 ー 株 益 国 人 四 幻 21 一 に 【 役 員 3 永 久 男 供 田","ー52料東誕c幻・4な1第→ー7ティー・エイチ・シー9,71【株式】&13【株ド127な幻」幻生3〉ヒロイックインベストメ図】121阜(OA)Ⅱ己資本1,側1永田久男1高安ま比事00、0、、01加218ー物「17川ャマエ野70,側7三井品1801804幻3【指標等】=6〉加藤側0和4ROA4.予4.Vよ困Tを和0幻91調ー株益国人四幻21一に【役員3永久男供田"
1420,1420.T,サンヨーホームズ,建設業,theme_bodyleft,"ー 7 △ 1 身 121 1 4 東 S ロ 、 4.8 第 → ー 7 f) OA) 3 5 【 株 式 】 & ー 6 飛 【 株 主 1 均 , 名 閉 コ 〉 庸 第 1 阪 L ー X ー L 310 幻 5 オ リ ッ ク ス 1 ー ま 2 生 3 > 而 関 西 電 力 1 Ⅱ . 1 10.3 Ⅱ 己 資 本 , 日 本 カ ス ト デ ィ 銀 行 78 2 714 4 【 指 標 等 】 く 4 ・ 3 〉 仆 友 牛 命 保 険 5 ( o.3) ス ヾ 高 安 日 ・ ROE ー ん く 円 メ ー : 勳 橆 & 4 れ 4 調 株 益 743 7 1 韻 益 ( 143 1 9 【 役 員 田 中 戉 典 供 舩 岡 戸 年 00 、 ( 0 年 満 、 0 ) 、 チ .. 福 井 江 治 い を 高 和 則 ・ 田","ー7△1身12114東Sロ、4.8第→ー7f)OA)35【株式】&ー6飛【株主1均,名閉コ〉庸第1阪LーXーL310幻5オリックス1ーま2生3>而関西電力1Ⅱ.110.3Ⅱ己資本,日本カストディ銀行7827144【指標等】く4・3〉仆友牛命保険5(o.3)スヾ高安日・ROEーんく円メー:勳橆&4れ4調株益74371韻益(14319【役員田中戉典供舩岡戸年00、(0年満、0)、チ..福井江治いを高和則・田"
1429,1429.T,日本アクア,建設業,theme_bodyleft,"ー 7 25 幟 0 ー よ 1 2 料 0 ・ れ 6 Ⅱ 己 資 本 8 , 側 1 日 本 マ ス タ 1 匯 ヒ ノ キ ャ グ ル ー プ 臨 行 0 9 【 株 式 】 & , 78 飛 【 株 月 , 4 名 く な 肥 〉 庸 高 ま 比 0 、 0 、 ー ザ 、 ← ( 0 ~ レ Ⅱ 9 7740 ー ー f. 1 を 4 , ゴ ー ル ド マ ン ・ サ ッ ク ス ・ バ ン ク ヨ Ⅱ 例 ー 【 指 標 等 】 4 な ー わ ー ロ ッ パ ( Lu 1 ・ 9 高 安 日 ・ ・ ROE 程 4 ー JP モ ル ガ ン 47 ー 3 2 ー 4 ROA 9 ー 予 1 住 ノ ル ウ ェ ー 1 9 ・ 、 年 00 、 、 0 チ 「 1 い 文 ( 報 ー 上","ー725幟0ーよ12料0・れ6Ⅱ己資本8,側1日本マスタ1匯ヒノキャグループ臨行09【株式】&,78飛【株月,4名くな肥〉庸高ま比0、0、ーザ、←(0~レⅡ97740ーーf.1を4,ゴールドマン・サックス・バンクヨⅡ例ー【指標等】4なーわーロッパ(Lu1・9高安日・・ROE程4ーJPモルガン47ー32ー4ROA9ー予1住ノルウェー19・、年00、、0チ「1い文(報ー上"
142A,142A.T,ジンジブ,サービス業,theme_wide,"な 貶 ・ 3 ・ 4 東 ⑥ 24 ー 24 3 → ー (OA 3 幻 4 【 株 式 】 4 輸 俐 【 株 ド 乢 例 2 名 く ① 佐 々 木 ま 秀 石 7 2,179 ノ ム 2 ノ ミ ニ ー 殳 ・ オ ム コ ー シ ン キ ャ ッ シ ュ 有 ー ナ ン ト cvC2 号 ′ 【 指 標 等 】 く 〉 合 ROE 予 村 券 ROA ー 川","な貶・3・4東⑥24ー243→ー(OA3幻4【株式】4輸俐【株ド乢例2名く①佐々木ま秀石72,179ノム2ノミニー殳・オムコーシンキャッシュ有ーナントcvC2号′【指標等】く〉合ROE予村券ROAー川"
1430,1430.T,ファーストコーポレーション,建設業,theme_bodyleft,"矼 5 15. 4 三 和 . G3 カ 燔 、 東 S 1 1 1 & 1 5 ー 7 .0 Ⅱ 己 資 本 8 , 藤 み さ を 引 圏 18 & 2 ) Ⅱ 8 8 1 9 幻 4 ー 0 1 阪 中 村 利 【 株 式 】 & ー 【 株 ド 1 肥 , 訂 砌 く な Ⅱ 〉 庸 7 一 ・ カ ス ト デ ィ 日 1 比 日 マ ス タ れ ム 5 7 , 7 ロ 4 , ロ 19 4 ・ 、 年 22 、 ( 5 年 前 ) 価 13 チ 、 1 中 村 井","矼515.4三和.G3カ燔、東S111&15ー7.0Ⅱ己資本8,藤みさを引圏18&2)Ⅱ8819幻4ー01阪中村利【株式】&ー【株ド1肥,訂砌くなⅡ〉庸7一・カストディ日1比日マスタれム57,7ロ4,ロ194・、年22、(5年前)価13チ、1中村井"
1431,1431.T,Ｌｉｂ Ｗｏｒｋ,建設業,theme_wide,幻 . 4 ・ 2 跿 3 24 ー 24 3 ( 7 新 7 【 株 式 】 ー 引 俐 【 株 ド 名 く な 貶 S ホ ー ル デ ィ ン グ (OA 8 行 7 4 【 指 標 等 】 > 巻 雄 ー ROA % ー く 外 〉 凹 く 瀞,幻.4・2跿324ー243(7新7【株式】ー引俐【株ド名くな貶Sホールディング(OA8行74【指標等】>巻雄ーROA%ーく外〉凹く瀞
