code,ticker,company_name,sector,best_variant,theme_text_regenerated,theme_text_regenerated_compact,theme_text_regenerated_normalized,theme_hit_count
1380,1380.T,秋川牧園,水産・農林業,theme_bodyleft,35 【 株 式 】 & .5 カ 1 1 ー 7 5 お & 3 県 【 株 主 1 物 い 口 名 く 幻 コ 〉 庸 ] 秋 川 正 110 5 42 .11 2 料 Ⅱ 己 資 本 栁 Ⅱ 喜 代 子 (GO(MD 13 よ ー 0 山 只 哭 名 川 農 業 協 同 合 加 物 3 当 飼 料 Ⅱ 3 10 【 指 標 等 】 く 4 ・ 3 〉 . 月 長 に 2 1100 1 2 ROA 1 議 ー 予 1 ・ 脇 1 108 1 調 ー 株 益 1025 韻 益 ( .3 ) ー 戸 年 、 ( 0 年 満 、 ) ス 0 チ ・ ・ 【 役 員 幇 な 川 眄 日 村 次,35【株式】&.5カ11ー75お&3県【株主1物い口名く幻コ〉庸]秋川正110542.112料Ⅱ己資本栁Ⅱ喜代子(GO(MD13よー0山只哭名川農業協同合加物3当飼料Ⅱ310【指標等】く4・3〉.月長に2110012ROA1議ー予1・脇11081調ー株益1025韻益(.3)ー戸年、(0年満、)ス0チ・・【役員幇な川眄日村次,35【株式】&.5カ11ー75お&3県【株主1物い口名く幻コ〉庸]秋川正.料Ⅱ己資本栁Ⅱ喜代子(GO(MD13よー0山只哭名川農業協同合加物3当飼料Ⅱ【指標等】く4・3〉.月長に韻益(.3)ー戸年、(0年満、)ス0チ・・【役員幇な川眄日村次,0
1381,1381.T,アクシーズ,水産・農林業,theme_wide,"【 株 式 】 5 7 俐 【 株 ド : 名 く な 貶 8. G → ー 4 務 ) く 2 〉 市 公 , ー 資 本 34 廳 児 島 銀 行 24 ー 龕 安 統 日 ・ ROE 73 脇 く 外 〉 ー 5 く 24 3 信 〉 凹 ROA","【株式】57俐【株ド:名くな貶8.G→ー4務)く2〉市公,ー資本34廳児島銀行24ー龕安統日・ROE73脇く外〉ー5く243信〉凹ROA","【株式】57俐【株ド:名くな貶8.G→ー4務)く2〉市公,ー資本34廳児島銀行24ー龕安統日・",1
1382,1382.T,ホーブ,水産・農林業,theme_bodyleft,△ 11B 此 1 ー 5 25 第 → ー 7 f.6 5.0 冊 7 【 株 式 】 & 0 1 7 【 株 主 ル 一 名 く な 肥 〉 高 橋 和 14 ・ 1 → ー 2 記 資 本 評 品 16 20 16 ム 0 ~ 7 8 G 証 券 8 ( い ) 2 1 01 4 【 指 標 等 】 く 6 〉 み す ほ 証 券 8 ( い ) 高 安 日 ・ ROE 14 ー を & BNY ・ GCM ク ラ イ ア ン ト 」 2 ROA - PRD ・ AC•ISG 7 ( ー ) 調 株 益 例 21 戸 年 、 ( 0 年 満 、 ) 0 チ .. 1 高 橋 巖,△11B此1ー525第→ー7f.65.0冊7【株式】&017【株主ル一名くな肥〉高橋和14・1→ー2記資本評品162016ム0~78G証券8(い)21014【指標等】く6〉みすほ証券8(い)高安日・ROE14ーを&BNY・GCMクライアント」2ROA-PRD・AC•ISG7(ー)調株益例21戸年、(0年満、)0チ..1高橋巖,△11B此1ー第→ー7f.65.0冊7【株式】&【株主ル一名くな肥〉高橋和14・1→ー2記資本評品ム0~78G証券8(い)【指標等】く6〉みすほ証券8(い)高安日・1戸年、(0年満、)0チ..1高橋巖,0
1383,1383.T,ベルグアース,水産・農林業,theme_bodyleft,"ー 2 Ⅱ .1 21.11 28 ー 諸 よ 9 (OA ー 諸 カ ー 7 .0 【 株 式 】 & 1 1 1 , 例 0 飛 【 株 阪 山 く な 10 〉 庸 圏 ) 靄 ー ア / リ ビ ジ ネ ス 投 資 ・ 成 制 8 4.9 Ⅱ 己 資 本 1 : ー 予 i 4 ( 1 響 「 買 自 社 従 業 員 持 株 会 2 1 【 指 標 等 】 く 10 〉 知 満 川 種 2 一 81 1 最 純 益 ( ー の 2 2 ー 5 高 安 呂 ・ ・ ROE 43 脇 山 口 眞 山 「","ー2Ⅱ.121.1128ー諸よ9(OAー諸カー7.0【株式】&111,例0飛【株阪山くな10〉庸圏)靄ーア/リビジネス投資・成制84.9Ⅱ己資本1:ー予i4(1響「買自社従業員持株会21【指標等】く10〉知満川種2一811最純益(ーの22ー5高安呂・・ROE43脇山口眞山「","ー2Ⅱ..ー諸よ9(OAー諸カー7.0【株式】&,例0飛【株阪山くな10〉庸圏)靄ーア/リビジネス投資・成制84.9Ⅱ己資本1:ー予i4(1響「買自社従業員持株会21【指標等】く10〉知満川種2一最純益(ーの22ー5高安呂・・",0
1384,1384.T,ホクリヨウ,水産・農林業,theme_wide,. 3 東 ⑤ 4 (OA) 【 株 式 】 俐 【 株 ド 名 く ① コ コ リ コ 骭 文 字 チ キ ン カ ン ′ Y メ ロ ン M ク ラ ー ト M ・ Ⅱ ふ ー 一 9 7 儁 贔 北 袵 24 ー ⅱ 3 4 【 指 標 等 】 く 〉 北 龕 安 統 ド 0 ・ 00 ・ 0 、 、 、 0 0 鳥 L00 0 24 3 ー ROA ー 、 Ⅳ モ ル ガ ン,.3東⑤4(OA)【株式】俐【株ド名く①ココリコ骭文字チキンカン′YメロンMクラートM・Ⅱふー一97儁贔北袵24ーⅱ34【指標等】く〉北龕安統ド0・00・0、、、00鳥L000243ーROAー、Ⅳモルガン,.3東⑤4(OA)【株式】俐【株ド名く①ココリコ骭文字チキンカン′YメロンMクラートM・Ⅱふー一97儁贔北袵24ーⅱ34【指標等】く〉北龕安統ド0・00・0、、、00鳥Lー,0
138A,138A.T,光フードサービス,小売業,theme_bodyleft,ー 5 1 & 11 一 三 和 . カ ( 5 ) ー 7 0 ・ 1 1 【 株 式 】 & 的 2 【 株 1 名 く な 〉 勢 エ ム ・ カ ン パ ニ ー 6 ム 5 1 東 誕 c 2 料 高 安 3 高 師 安 呂 ・ 2 6700 ー 国 人 4 1 く 肥 生 ゎ 而 中 島 翔 太 47 ・ 備 ー 大 谷 光 18 6 & 9 1 イ - ・ 田 央 Ⅱ 己 資 本 い 76 国 > 仙 第 く 浮 動 株 〉 0 本 比 4 富 ー く 投 信 〉 凹 、 く ネ ド 定 株 〉 1 4 【 指 標 等 】 4 彑 Ⅱ > ROE 7 予 17. ROA 11 議 ー 予 & 脇 調 株 益 最 益 ( な Ⅱ ) 1,ー51&11一三和.カ(5)ー70・11【株式】&的2【株1名くな〉勢エム・カンパニー6ム51東誕c2料高安3高師安呂・26700ー国人41く肥生ゎ而中島翔太47・備ー大谷光186&91イ-・田央Ⅱ己資本い76国>仙第く浮動株〉0本比4富ーく投信〉凹、くネド定株〉14【指標等】4彑Ⅱ>ROE7予17.ROA11議ー予&脇調株益最益(なⅡ)1,ー51&11一三和.カ(5)ー70・11【株式】&的2【株1名くな〉勢エム・カンパニー6ム51東誕c2料高安3高師安呂・ー国人41く肥生ゎ而中島翔太47・備ー大谷光&91イ-・田央Ⅱ己資本い76国>仙第く浮動株〉0本比4富ーく投信〉凹、くネド定株〉14【指標等】4彑Ⅱ>(なⅡ)1,0
1401,1401.T,エムビーエス,建設業,theme_wide,"設 4 【 株 式 】 7 , 7 俐 【 株 ド ー 名 く な ⅱ → ー 本 貴 に ・ ホ ー ル デ ィ ン グ ス → ー . 4 7 皀 本 3 5 呂 社 鬟 会 安 き 比 事 本 マ タ ー 信 託 東 ⑥ 島 第 2,7 山 本 剏 0 鳳 真 24 ー ー 【 指 標 等 】 く > 非 野 日 房 雄 ROE ー 一 く 外 〉 2 脇 24 3 7 ー ROA 7 ー く 投 信 〉 凹","設4【株式】7,7俐【株ドー名くなⅱ→ー本貴に・ホールディングス→ー.47皀本35呂社鬟会安き比事本マター信託東⑥島第2,7山本剏0鳳真24ーー【指標等】く>非野日房雄ROEー一く外〉2脇2437ーROA7ーく投信〉凹","設4【株式】7,7俐【株ドー名くなⅱ→ー本貴に・ホールディングス→ー.47皀本35呂社鬟会安き比事本マター信託東⑥島第2,7山本剏0鳳真24ーー【指標等】く>非野日房雄〉凹",0
1407,1407.T,ウエストホールディングス,建設業,theme_bodyleft,"6 な 東 S ー 5 7 → 1 → 1 1 → 1 仭 4 ー 7 仕 0 幻 .7 【 株 式 】 & 0 【 株 主 7()' 名 閉 2 〉 庸 讐 , 新 社 ( 自 4 00 ) 0 00 臨 7 訂 . 2 生 2 〉 日 太 カ ス ト プ イ 日 3 7 」 1 幻 , 82 マ ス タ ヨ 日 6 Ⅱ 己 資 本 , JERA 本 比 バ ン ク ・ オ プ ・ ニ ュ ー ヨ ー ク ・ ム 0 メ ロ ン 14 1 四 幻 ( 8 ー 「 '1 CEPLUX 工 ル ス テ グ ル ー 4 【 指 標 等 】 く 8 〉 バ ン ク UC s 51( い ) 韻 益 ( 2 ) 6 , 4 プ ル グ ・ 4523 ( 0. の 3010 一 円 JP モ ル ガ ン ・ SE ・ ル ク セ ン 調 株 益 2 4 4 ROA 4 ・ 予 プ ル グ ・ 4 4 盟 ( の 高 安 呂 ・ ROE ・ 予 JP モ ル ガ ン ・ SE ・ ル ク セ ン","6な東Sー57→1→11→1仭4ー7仕0幻.7【株式】&0【株主7()'名閉2〉庸讐,新社(自400)000臨7訂.2生2〉日太カストプイ日37」1幻,82マスタヨ日6Ⅱ己資本,JERA本比バンク・オプ・ニューヨーク・ム0メロン141四幻(8ー「'1CEPLUX工ルステグルー4【指標等】く8〉バンクUCs51(い)韻益(2)6,4プルグ・4523(0.の3010一円JPモルガン・SE・ルクセン調株益244ROA4・予プルグ・44盟(の高安呂・ROE・予JPモルガン・SE・ルクセン","6な東Sー57→1→11→1仭4ー7仕0幻.7【株式】&0【株主7()'名閉2〉庸讐,新社(自)臨7訂.2生2〉日太カストプイ日37」1幻,82マスタヨ日6Ⅱ己資本,JERA本比バンク・オプ・ニューヨーク・ム0メロン四幻(8ー「'1CEPLUX工ルステグルー4【指標等】く8〉バンクUCs51(い)韻益(2)6,4プルグ・(0.の一円JPモルガン・SE・ルクセン調株益",0
1414,1414.T,ショーボンドホールディングス,建設業,theme_bodyleft,"0 17. 8 ー 5 舸 → 恠 5 冊 2 ー 7 6 【 株 式 】 & 745 【 株 制 7 名 く な 肥 〉 庸 ー 1 匯 日 本 マ ス タ ヨ 日 砌 ( Ⅱ .7 ) 47 砌 ー C ・ ク ラ イ ア ン ト ・ オ ム = バ 567 1 生 3 〉 ス ・ ア カ ウ ン ト ( 10 1 幻 7 ・ 般 財 団 法 人 上 田 記 そ 財 団 Ⅱ 己 資 本 1 例 , 島 安 ま 比 、 自 社 ( 自 4 0 調 整 ー 株 益 円 日 未 カ ス ト ア イ 信 託 冂 4 2 61 1 ROA 予 11. 脇 引 安 田 イ る 1 ム 3 高 安 呂 ・ ROE ー ハ フ ィ デ ー ー イ F. 1 よ 3 1 1 -4 【 指 標 等 】 く 〉 ノ ー ザ ン ・ ト ラ ス ト (AVFC) リ 6 引 2 響 「 70 , 二 菱 U 暑 嶐 9 4 6 よ 5 8 最 ( な 6 ) 以 7 設 備 資 い 予 側 く 国 〉 ー 4 を く 0 ・ 2 第 Ⅱ 7 ( )","017.8ー5舸→恠5冊2ー76【株式】&745【株制7名くな肥〉庸ー1匯日本マスタヨ日砌(Ⅱ.7)47砌ーC・クライアント・オム=バ5671生3〉ス・アカウント(101幻7・般財団法人上田記そ財団Ⅱ己資本1例,島安ま比、自社(自40調整ー株益円日未カストアイ信託冂42611ROA予11.脇引安田イる1ム3高安呂・ROEーハフィデーーイF.1よ311-4【指標等】く〉ノーザン・トラスト(AVFC)リ6引2響「70,二菱U暑嶐946よ58最(な6)以7設備資い予側く国〉ー4をく0・2第Ⅱ7()",".8ー5舸→恠5冊2ー76【株式】&【株制7名くな肥〉庸ー1匯日本マスタヨ日砌(Ⅱ.7)47砌ーC・クライアント・オム=バ生3〉ス・アカウント(幻7・般財団法人上田記そ財団Ⅱ己資本1例,島安ま比、自社(自40調整ー株益円日未カストアイ信託冂〉ノーザン・トラスト(AVFC)リ6引2響「70,二菱U暑嶐よ58最(な6)以7設備資い予側く国〉ー4をく0・2第Ⅱ7()",0
1417,1417.T,ミライト・ワン,建設業,theme_wide,"加 名 ー ー ・ 持 、 ト 株 ー ) 一 ツ リ ョ , 気 ト ト ._ ま , ド 【 ー ー ー 「 ス ・ ー み バ ス 〉 引 47 本 〈","加名ーー・持、ト株ー)一ツリョ,気トト._ま,ド【ーーー「ス・ーみバス〉引47本〈","加名ーー・持、ト株ー)一ツリョ,気トト._ま,ド【ーーー「ス・ーみバス〉引47本〈",0
1418,1418.T,インターライフホールディングス,建設業,theme_bodyleft,"14. 14. 東 S 0 り 3 4 24 4 ー 7 △ f.9 28 【 株 式 】 & 川 0 【 株 主 1 郵 , 978 名 閉 2 〉 庸 Ⅱ 己 資 本 3 , 乃 村 一 从 ' 1 3 響 「 1 社 員 株 会 い 3 【 指 標 等 】 く 4 ・ 2 〉 及 川 民 司 加 ( の 5.0 2 21 2 幻 3 加 7 1 調 ー 株 益 210 韻 益 ) 476 【 役 員 1 知 i : 司 正 英 餬 貴 田 ・ 、 年 s(5 年 満 (s) 価 確 チ 肥 い 0 チ 0 司 翕 ー 「 司 ム 胆 正 明","14.14.東S0り34244ー7△f.928【株式】&川0【株主1郵,978名閉2〉庸Ⅱ己資本3,乃村一从'13響「1社員株会い3【指標等】く4・2〉及川民司加(の5.02212幻3加71調ー株益210韻益)476【役員1知i:司正英餬貴田・、年s(5年満(s)価確チ肥い0チ0司翕ー「司ム胆正明","14.14.東S0りー7△f.【株式】&川0【株主1郵,名閉2〉庸Ⅱ己資本3,乃村一从'13響「1社員株会い3【指標等】く4・2〉及川民司加(の5.幻3加71調ー株益韻益)【役員1知i:司正英餬貴田・、年s(5年満(s)価確チ肥い0チ0司翕ー「司ム胆正明",0
1419,1419.T,タマホーム,建設業,theme_bodyleft,"ー 5 .4 ( 9 り (OA) ー 7 Ⅱ 己 資 本 , 1 , 玉 ・ 一 【 株 式 】 & 四 4 【 株 1 名 く な Ⅱ 〉 庸 1 11 2 料 第 5 幻 ー 響 「 : 自 社 ( 自 己 株 「 1 ) ー 」 恥 4 4 4 1 【 指 標 等 】 く 5 〉 日 本 カ ス ト デ ィ 第 龜 」 21 ( の 高 安 呂 ・ ROE 予 ハ BNY ・ GCM ノ ラ イ ア ン ト 2 4 4010 ROA 7 ー 予 7. PRDISGFEAC 17 ( 4 材 5 調 株 益 恥 1 4 よ 戸 年 、 ( 0 年 満 、 ) 、 チ . : ぞ 1 0 、 仲 弥 ・ 木","ー5.4(9り(OA)ー7Ⅱ己資本,1,玉・一【株式】&四4【株1名くなⅡ〉庸1112料第5幻ー響「:自社(自己株「1)ー」恥4441【指標等】く5〉日本カストディ第龜」21(の高安呂・ROE予ハBNY・GCMノライアント244010ROA7ー予7.PRDISGFEAC17(4材5調株益恥14よ戸年、(0年満、)、チ.:ぞ10、仲弥・木","ー5.4(9り(OA)ー7Ⅱ己資本,1,玉・一【株式】&四4【株1名くなⅡ〉庸料第5幻ー響「:自社(自己株「1)ー」恥【指標等】く5〉日本カストディ第龜」21(の高安呂・05調株益恥14よ戸年、(0年満、)、チ.:ぞ10、仲弥・木",0
